Protein.Group,log2FC,AveExpr,t,P.Value,adj.P.Val,B,Abundance,Blast_KOALA_KO,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,EggNOG_KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,Protein.Names,Gene.Names,Given_name
SymbC1.scaffold6006.3,0.505534691,18.66476836,-0.372013328,0.71865684,0.91143998,-5.27607671,no difference,K01090,5671.XP_001466108.1,5.40E-64,221,"COG0631@1|root,KOG0697@2759|Eukaryota,3XTYB@5653|Kinetoplastida",5653|Kinetoplastida,T,Sigma factor PP2C-like phosphatases,PP2C,-,3.1.3.16,ko:K01090,-,-,-,-,"ko00000,ko01000",-,-,-,PP2C,NA,NA,PP2C
SymbC1.scaffold5508.3,-1.08734565,21.93888419,1.287397023,0.206695067,0.596468721,-5.278213515,no difference,K00026,2903.EOD05272,2.50E-184,520,"COG0039@1|root,KOG1494@2759|Eukaryota",2759|Eukaryota,C,L-malate dehydrogenase activity,MDH,"GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005774,GO:0006950,GO:0007275,GO:0008150,GO:0008152,GO:0008746,GO:0009266,GO:0009409,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009628,GO:0009719,GO:0009725,GO:0009735,GO:0009790,GO:0009791,GO:0009793,GO:0009941,GO:0010033,GO:0010154,GO:0010319,GO:0016020,GO:0016491,GO:0016614,GO:0016615,GO:0016616,GO:0016651,GO:0016652,GO:0022414,GO:0030060,GO:0031090,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0048046,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050896,GO:0055114,GO:0061458,GO:0098588,GO:0098805",1.1.1.37,ko:K00026,"ko00020,ko00270,ko00620,ko00630,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00270,map00620,map00630,map00710,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00012,M00168,M00171","R00342,R07136",RC00031,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Ldh_1_C,Ldh_1_N",NA,NA,MDH
SymbC1.scaffold8142.1,1.362510353,20.88731679,-0.641536195,0.535850432,0.831030742,-5.27927896,no difference,K04487,130081.XP_005703716.1,2.98E-177,510,"COG1104@1|root,KOG1549@2759|Eukaryota",2759|Eukaryota,E,cysteine desulfurase activity,NFS1,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006790,GO:0008144,GO:0008150,GO:0008152,GO:0008270,GO:0009987,GO:0016043,GO:0016226,GO:0016740,GO:0016782,GO:0016783,GO:0017076,GO:0022607,GO:0030554,GO:0031071,GO:0031163,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044085,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0051186,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901363",2.8.1.7,ko:K04487,"ko00730,ko01100,ko04122,map00730,map01100,map04122",-,"R07460,R11528,R11529","RC01789,RC02313","ko00000,ko00001,ko01000,ko02048,ko03016,ko03029",-,-,-,Aminotran_5,NA,NA,NFS1
SymbC1.scaffold1044.7,0.461005185,20.1572431,-0.393073129,0.703589887,0.905650132,-5.280085759,no difference,,5821.PBANKA_133190,3.70E-25,104,"COG0513@1|root,KOG0327@2759|Eukaryota,3Y9MK@5794|Apicomplexa,3KBVS@422676|Aconoidasida,3YXMX@5819|Haemosporida",422676|Aconoidasida,J,Belongs to the DEAD box helicase family,-,"GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003743,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0006139,GO:0006412,GO:0006413,GO:0006518,GO:0006725,GO:0006807,GO:0008026,GO:0008135,GO:0008150,GO:0008152,GO:0008186,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010501,GO:0016070,GO:0016281,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019222,GO:0019538,GO:0031974,GO:0031981,GO:0032991,GO:0034641,GO:0034645,GO:0035770,GO:0036464,GO:0042623,GO:0042802,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0050789,GO:0060255,GO:0065007,GO:0070013,GO:0070035,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K03257,"ko03013,map03013",M00428,-,-,"ko00000,ko00001,ko00002,ko03012,ko03019,ko04147",-,-,-,"DEAD,Helicase_C",NA,NA,SymbC1.scaffold1044.7
SymbC1.scaffold6301.2,-1.112509219,17.5796524,0.558533468,0.586899319,0.854434247,-5.281023327,no difference,,227086.JGI_V11_146641,1.87E-66,239,"KOG0767@1|root,KOG0767@2759|Eukaryota",2759|Eukaryota,U,phosphate ion transmembrane transport,-,-,-,ko:K15102,-,-,-,-,"ko00000,ko02000,ko04147",2.A.29.4,-,-,Mito_carr,NA,NA,SymbC1.scaffold6301.2
SymbC1.scaffold4690.1,-1.286146124,19.0938677,0.815479268,0.426900626,0.771003054,-5.281816697,no difference,,5888.CAK70552,1.00E-67,214,"KOG2352@1|root,KOG2352@2759|Eukaryota,3ZB6J@5878|Ciliophora",5878|Ciliophora,E,Methyltransferase domain,-,-,-,-,-,-,-,-,-,-,-,-,Methyltransf_11,NA,NA,SymbC1.scaffold4690.1
SymbC1.scaffold1534.2,0.619226016,19.90728672,-0.58668898,0.567595246,0.846249278,-5.282835594,no difference,,1192034.CAP_1946,4.56E-13,70.9,"COG2730@1|root,COG2730@2|Bacteria,1QU12@1224|Proteobacteria,439SU@68525|delta/epsilon subdivisions,2X55V@28221|Deltaproteobacteria,2Z05R@29|Myxococcales",28221|Deltaproteobacteria,G,Cellulase (glycosyl hydrolase family 5),-,-,3.2.1.4,ko:K01179,"ko00500,ko01100,map00500,map01100",-,"R06200,R11307,R11308",-,"ko00000,ko00001,ko01000",-,"GH5,GH9",-,Cellulase,NA,NA,SymbC1.scaffold1534.2
SymbC1.scaffold9459.1,-1.299915643,21.39044733,1.22221554,0.231197251,0.619964501,-5.283742685,no difference,,41875.XP_007509288.1,1.04E-279,792,"COG0065@1|root,KOG0454@2759|Eukaryota,37Y3E@33090|Viridiplantae",33090|Viridiplantae,E,Aconitate B N-terminal domain,-,-,"4.2.1.3,4.2.1.99",ko:K01682,"ko00020,ko00630,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230","M00009,M00010,M00012,M00173","R01324,R01325,R01900,R04425","RC00497,RC00498,RC00618,RC01153","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,"Aconitase,Aconitase_2_N,Aconitase_B_N",NA,NA,SymbC1.scaffold9459.1
SymbC1.scaffold1492.5,-1.655978996,23.75402229,1.270052626,0.212994908,0.603017832,-5.284070746,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold1492.5
SymbC1.scaffold5493.1,-1.001363094,20.25962252,0.986755248,0.336275378,0.711502582,-5.28459734,no difference,,400682.PAC_15725369,3.19E-113,363,"28P00@1|root,2QVKK@2759|Eukaryota,396VE@33154|Opisthokonta",33154|Opisthokonta,S,"Beta-L-arabinofuranosidase, GH127",-,-,-,-,-,-,-,-,-,-,-,-,Glyco_hydro_127,NA,NA,SymbC1.scaffold5493.1
SymbC1.scaffold1388.1,0.943248341,20.23193354,-0.660760947,0.519623728,0.82493613,-5.285561188,no difference,,44056.XP_009032738.1,2.21E-102,312,"KOG0266@1|root,KOG0266@2759|Eukaryota",2759|Eukaryota,B,WD repeat-containing protein,-,-,-,-,-,-,-,-,-,-,-,-,"ANAPC4_WD40,WD40",NA,NA,SymbC1.scaffold1388.1
SymbC1.scaffold1867.3,-0.990662811,19.8244752,1.039333995,0.310026478,0.692034072,-5.286171047,no difference,,1027371.GOALK_029_00020,3.35E-93,288,"COG0807@1|root,COG0807@2|Bacteria,2GP9V@201174|Actinobacteria,4GBZG@85026|Gordoniaceae",201174|Actinobacteria,F,GTP cyclohydrolase N terminal,-,-,-,-,-,-,-,-,-,-,-,-,"GTP_CH_N,GTP_cyclohydro2",NA,NA,SymbC1.scaffold1867.3
SymbC1.scaffold8028.1,0.050383184,19.84607175,-0.036073064,0.971825808,0.990600239,-5.286849283,no difference,,5874.XP_954445.1,2.27E-11,72.4,"KOG2171@1|root,KOG2171@2759|Eukaryota,3Y9P7@5794|Apicomplexa,3KA85@422676|Aconoidasida,3Z41A@5863|Piroplasmida",422676|Aconoidasida,UY,Karyopherin beta,-,-,-,ko:K20222,-,-,-,-,"ko00000,ko03009",1.I.1,-,-,HEAT,NA,NA,SymbC1.scaffold8028.1
SymbC1.scaffold201.1,-0.494963445,18.70729646,0.373941111,0.716389781,0.911234896,-5.286871263,no difference,K12580,936053.I1BPD7,2.07E-67,235,"COG5665@1|root,KOG2150@2759|Eukaryota,38DCH@33154|Opisthokonta,3NU44@4751|Fungi,1GT0U@112252|Fungi incertae sedis",4751|Fungi,K,"Not1 N-terminal domain, CCR4-Not complex component",NOT5,"GO:0000288,GO:0000289,GO:0000290,GO:0000932,GO:0000956,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006354,GO:0006355,GO:0006357,GO:0006366,GO:0006368,GO:0006401,GO:0006402,GO:0006417,GO:0006464,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0016070,GO:0016071,GO:0016567,GO:0017148,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019439,GO:0019538,GO:0030014,GO:0030015,GO:0031086,GO:0031087,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032268,GO:0032269,GO:0032446,GO:0032774,GO:0032784,GO:0032786,GO:0032968,GO:0032991,GO:0034243,GO:0034248,GO:0034249,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0035770,GO:0036211,GO:0036464,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043412,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0046700,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051173,GO:0051246,GO:0051248,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070647,GO:0071704,GO:0080090,GO:0090304,GO:0090305,GO:0097659,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901575,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:1990904,GO:2000112,GO:2000113,GO:2001141",-,ko:K12580,"ko03018,map03018",-,-,-,"ko00000,ko00001,ko03019",-,-,-,"NOT2_3_5,Not3",NA,NA,NOT5
SymbC1.scaffold1101.3,-0.832122396,20.02682025,0.983427271,0.336684617,0.711815096,-5.286982967,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold1101.3
SymbC1.scaffold139.9,0.710129901,21.48558041,-1.132715869,0.268154915,0.654215467,-5.287405733,no difference,K13720,5888.CAK66645,1.24E-38,147,"2CKW9@1|root,2RT09@2759|Eukaryota,3ZFP5@5878|Ciliophora",5878|Ciliophora,G,N-acylsphingosine amidohydrolase activity,-,-,-,ko:K13720,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,NAAA-beta,NA,NA,SymbC1.scaffold139.9
SymbC1.scaffold5445.3,0.56318633,20.45422124,-0.470816742,0.646336449,0.885823742,-5.287723642,no difference,,38833.XP_003059685.1,1.46E-53,184,"COG0112@1|root,KOG2467@2759|Eukaryota,37K7X@33090|Viridiplantae,34GYI@3041|Chlorophyta",3041|Chlorophyta,H,Interconversion of serine and glycine,-,-,2.1.2.1,ko:K00600,"ko00260,ko00460,ko00630,ko00670,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko01523,map00260,map00460,map00630,map00670,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map01523","M00140,M00141,M00346,M00532","R00945,R09099","RC00022,RC00112,RC01583,RC02958","ko00000,ko00001,ko00002,ko01000",-,-,-,SHMT,NA,NA,SymbC1.scaffold5445.3
SymbC1.scaffold5857.3,-1.163698781,21.47747162,1.114280851,0.275830144,0.659102466,-5.289029204,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold5857.3
SymbC1.scaffold288.4,0.522237654,16.86445064,-0.464188862,0.652625296,0.887818317,-5.28908044,no difference,,32264.tetur05g05760.1,5.95E-06,57.8,"KOG1747@1|root,KOG1747@2759|Eukaryota,38DWE@33154|Opisthokonta,3BCZQ@33208|Metazoa,3CSKT@33213|Bilateria,41UUP@6656|Arthropoda",33208|Metazoa,W,Actin binding. It is involved in the biological process described with negative regulation of actin filament polymerization,TWF1,"GO:0000003,GO:0000166,GO:0001101,GO:0001558,GO:0001667,GO:0001932,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003674,GO:0003779,GO:0003785,GO:0003824,GO:0004672,GO:0004713,GO:0005080,GO:0005488,GO:0005515,GO:0005524,GO:0005543,GO:0005546,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005856,GO:0005886,GO:0005911,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006897,GO:0006928,GO:0006996,GO:0007010,GO:0007015,GO:0007154,GO:0007165,GO:0007267,GO:0007268,GO:0007274,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007399,GO:0007417,GO:0007420,GO:0007423,GO:0008064,GO:0008092,GO:0008104,GO:0008144,GO:0008150,GO:0008152,GO:0008154,GO:0008289,GO:0008361,GO:0008407,GO:0009653,GO:0009887,GO:0009888,GO:0009987,GO:0010033,GO:0010591,GO:0010592,GO:0010611,GO:0010613,GO:0010631,GO:0010639,GO:0010720,GO:0010769,GO:0010770,GO:0010975,GO:0010976,GO:0014742,GO:0014743,GO:0015629,GO:0016020,GO:0016043,GO:0016192,GO:0016301,GO:0016310,GO:0016319,GO:0016477,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0018108,GO:0018193,GO:0018212,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0019953,GO:0022008,GO:0022411,GO:0022412,GO:0022414,GO:0022416,GO:0022603,GO:0022604,GO:0023052,GO:0030016,GO:0030027,GO:0030029,GO:0030036,GO:0030042,GO:0030054,GO:0030154,GO:0030175,GO:0030307,GO:0030424,GO:0030426,GO:0030427,GO:0030516,GO:0030554,GO:0030707,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0030855,GO:0031252,GO:0031323,GO:0031333,GO:0031344,GO:0031346,GO:0031399,GO:0032268,GO:0032271,GO:0032272,GO:0032420,GO:0032421,GO:0032501,GO:0032502,GO:0032504,GO:0032507,GO:0032526,GO:0032530,GO:0032532,GO:0032535,GO:0032536,GO:0032553,GO:0032555,GO:0032559,GO:0032956,GO:0032970,GO:0032984,GO:0033036,GO:0033043,GO:0033267,GO:0033993,GO:0034613,GO:0035091,GO:0035556,GO:0035639,GO:0036094,GO:0036211,GO:0036465,GO:0040008,GO:0040011,GO:0042221,GO:0042325,GO:0042989,GO:0042995,GO:0043005,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043242,GO:0043244,GO:0043254,GO:0043292,GO:0043412,GO:0043502,GO:0043538,GO:0043624,GO:0043933,GO:0044057,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0044703,GO:0044877,GO:0045185,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045773,GO:0045927,GO:0048468,GO:0048471,GO:0048477,GO:0048488,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048609,GO:0048638,GO:0048639,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050767,GO:0050769,GO:0050770,GO:0050772,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051016,GO:0051094,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051174,GO:0051179,GO:0051234,GO:0051235,GO:0051239,GO:0051240,GO:0051246,GO:0051261,GO:0051493,GO:0051494,GO:0051641,GO:0051649,GO:0051651,GO:0051674,GO:0051693,GO:0051704,GO:0051716,GO:0051960,GO:0051962,GO:0060255,GO:0060284,GO:0060322,GO:0060429,GO:0060491,GO:0061387,GO:0065007,GO:0065008,GO:0070727,GO:0070848,GO:0070887,GO:0071229,GO:0071300,GO:0071310,GO:0071363,GO:0071396,GO:0071704,GO:0071840,GO:0071944,GO:0080090,GO:0090066,GO:0090130,GO:0090132,GO:0090257,GO:0097159,GO:0097367,GO:0097435,GO:0097458,GO:0098657,GO:0098858,GO:0098862,GO:0098916,GO:0099003,GO:0099080,GO:0099081,GO:0099504,GO:0099512,GO:0099536,GO:0099537,GO:0110053,GO:0120025,GO:0120032,GO:0120034,GO:0120035,GO:0120038,GO:0140096,GO:0150034,GO:1901265,GO:1901363,GO:1901564,GO:1901700,GO:1901701,GO:1901879,GO:1901880,GO:1901981,GO:1902743,GO:1902745,GO:1902903,GO:1902904,GO:1902936,GO:2000026",-,"ko:K08870,ko:K10161,ko:K14962","ko03015,ko04620,ko05142,ko05143,ko05144,ko05152,ko05162,ko05168,map03015,map04620,map05142,map05143,map05144,map05152,map05162,map05168",-,-,-,"ko00000,ko00001,ko03019,ko03036,ko04090",-,-,-,Cofilin_ADF,NA,NA,TWF1
SymbC1.scaffold7890.2,-0.755997765,20.91946754,1.209650527,0.236240123,0.625017332,-5.289225126,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold7890.2
SymbC1.scaffold9664.3,-0.55411268,18.60844985,0.416355607,0.686097382,0.901028613,-5.290210219,no difference,,44056.XP_009035189.1,3.82E-137,455,"COG1038@1|root,COG1444@1|root,COG4799@1|root,KOG0369@2759|Eukaryota,KOG0540@2759|Eukaryota,KOG2036@2759|Eukaryota",2759|Eukaryota,H,tRNA N-acetyltransferase activity,NAT10,"GO:0000049,GO:0000154,GO:0000166,GO:0002097,GO:0002101,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005697,GO:0005730,GO:0006139,GO:0006325,GO:0006364,GO:0006396,GO:0006399,GO:0006400,GO:0006464,GO:0006473,GO:0006475,GO:0006725,GO:0006807,GO:0006996,GO:0008033,GO:0008080,GO:0008144,GO:0008150,GO:0008152,GO:0009451,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010556,GO:0010558,GO:0010605,GO:0010639,GO:0016043,GO:0016070,GO:0016072,GO:0016407,GO:0016410,GO:0016569,GO:0016570,GO:0016573,GO:0016740,GO:0016746,GO:0016747,GO:0017076,GO:0018193,GO:0018205,GO:0018393,GO:0018394,GO:0019219,GO:0019222,GO:0019538,GO:0019899,GO:0022613,GO:0030490,GO:0030496,GO:0030554,GO:0030684,GO:0030686,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032204,GO:0032205,GO:0032210,GO:0032211,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033043,GO:0033044,GO:0034470,GO:0034641,GO:0034660,GO:0035639,GO:0036094,GO:0036211,GO:0042254,GO:0042274,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043543,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051276,GO:0051391,GO:0051392,GO:0060255,GO:0065007,GO:0065008,GO:0070013,GO:0070182,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1904356,GO:1904357,GO:1904812,GO:1990882,GO:1990883,GO:1990884,GO:1990904,GO:2000112,GO:2000113,GO:2000278,GO:2000279,GO:2001251","2.1.3.15,6.4.1.3,6.4.1.4","ko:K01966,ko:K01968,ko:K01969,ko:K14521","ko00280,ko00630,ko00640,ko01100,ko01120,ko01130,ko01200,ko03008,map00280,map00630,map00640,map01100,map01120,map01130,map01200,map03008","M00036,M00373,M00741","R01859,R04138","RC00097,RC00367,RC00609,RC00942","ko00000,ko00001,ko00002,ko01000,ko03009",-,-,-,"DUF1726,GNAT_acetyltr_2,Helicase_RecD,tRNA_bind_2",NA,NA,NAT10
SymbC1.scaffold757.4,0.832543766,19.58911755,-1.207437837,0.237426821,0.625496041,-5.291495185,no difference,K00600,45157.CMI091CT,3.78E-181,525,"COG0112@1|root,KOG2467@2759|Eukaryota",2759|Eukaryota,H,glycine hydroxymethyltransferase activity,-,-,2.1.2.1,ko:K00600,"ko00260,ko00460,ko00630,ko00670,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko01523,map00260,map00460,map00630,map00670,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map01523","M00140,M00141,M00346,M00532","R00945,R09099","RC00022,RC00112,RC01583,RC02958","ko00000,ko00001,ko00002,ko01000",-,-,-,SHMT,NA,NA,SymbC1.scaffold757.4
SymbC1.scaffold3795.1,-0.920822057,18.72146583,0.646969305,0.530008597,0.829395203,-5.291745284,no difference,K10684,4792.ETI47736,3.07E-41,154,"COG0476@1|root,KOG2014@2759|Eukaryota,3Q9WB@4776|Peronosporales",4776|Peronosporales,O,ThiF family,-,-,6.2.1.45,ko:K10684,"ko04120,map04120",-,-,-,"ko00000,ko00001,ko01000,ko04121",-,-,-,ThiF,NA,NA,SymbC1.scaffold3795.1
SymbC1.scaffold3864.6,-1.012844819,23.9070291,1.273546838,0.21150605,0.601723658,-5.294667725,no difference,,55529.EKX41573,9.74E-109,335,"COG0460@1|root,2QQBK@2759|Eukaryota",2759|Eukaryota,E,homoserine dehydrogenase activity,-,-,"1.1.1.3,2.7.2.4",ko:K12524,"ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01230","M00016,M00017,M00018,M00526,M00527","R00480,R01773,R01775","RC00002,RC00043,RC00087","ko00000,ko00001,ko00002,ko01000",-,-,-,"Homoserine_dh,NAD_binding_3",NA,NA,SymbC1.scaffold3864.6
SymbC1.scaffold92.14,0.811528987,21.36192869,-1.183030637,0.246806293,0.632394511,-5.301008597,no difference,,4006.Lus10036780,4.41E-13,80.1,"KOG1337@1|root,KOG1337@2759|Eukaryota,37I7T@33090|Viridiplantae,3G7DF@35493|Streptophyta,4JEN0@91835|fabids",35493|Streptophyta,S,"Ribulose-1,5 bisphosphate carboxylase oxygenase large subunit N-methyltransferase",-,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006479,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008276,GO:0008757,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009987,GO:0016278,GO:0016279,GO:0016740,GO:0016741,GO:0018022,GO:0018023,GO:0018026,GO:0018193,GO:0018205,GO:0019538,GO:0032259,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0140096,GO:1901564","2.1.1.127,2.1.1.259",ko:K00592,-,-,R05179,RC01974,"ko00000,ko01000",-,-,-,"Rubis-subs-bind,SET",NA,NA,SymbC1.scaffold92.14
SymbC1.scaffold45.7,1.293294172,21.76816992,-1.154134688,0.259013384,0.643396496,-5.301140712,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold45.7
SymbC1.scaffold1502.1,-0.842781094,21.03680287,1.197998916,0.240674951,0.628232408,-5.302137271,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold1502.1
SymbC1.scaffold1947.6,1.491281184,19.50703888,-1.054723485,0.303087674,0.68512601,-5.303610038,no difference,K20011,1131269.AQVV01000001_gene1391,4.98E-63,201,"COG0450@1|root,COG0450@2|Bacteria",2|Bacteria,O,alkyl hydroperoxide reductase,ahpC,-,1.11.1.15,"ko:K03386,ko:K20011","ko04214,map04214",-,-,-,"ko00000,ko00001,ko01000,ko04147",-,-,-,"1-cysPrx_C,AhpC-TSA",NA,NA,ahpC
SymbC1.scaffold4104.2,-1.05013116,19.66601149,1.044196503,0.30782204,0.689662198,-5.304490062,no difference,,2903.EOD32467,7.25E-17,85.9,"2CPJ9@1|root,2R1VP@2759|Eukaryota",2759|Eukaryota,S,Protein of unknown function (DUF3119),-,-,-,-,-,-,-,-,-,-,-,-,DUF3119,NA,NA,SymbC1.scaffold4104.2
SymbC1.scaffold2101.1,-1.335923248,22.07473478,1.226590292,0.229263261,0.618543336,-5.306856241,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2101.1
